,Unnamed: 0,ciclo,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final,Asis,4P_60,id_anony,Nota.Prom
4429,4429,1,5512,SENSORES REMOTOS 2,CGF-175-09,6,1,2012,1,1,2012,14,29,10,0,0,[3],1.0,,es_1048,3.0
4430,4430,1,5512,SENSORES REMOTOS 2,CGF-175-09,6,1,2012,1,1,2012,10,29,10,0,0,[3],1.0,,es_1049,3.0
4431,4431,1,5512,SENSORES REMOTOS 2,CGF-175-09,6,1,2012,1,1,2012,0,0,0,0,0,"[1, 3]",0.0,,es_169,2.0
4432,4432,1,5512,SENSORES REMOTOS 2,CGF-175-09,6,1,2012,1,1,2012,21,29,10,0,0,[5],1.0,,es_170,5.0
4433,4433,1,5513,GEODESIA GEOMETRICA,CGF-PLS09 ,6,1,2012,1,0,0,0,18,0,0,0,[0],1.0,,es_414,0.0
4434,4434,1,5513,GEODESIA GEOMETRICA,CGF-PLS09 ,6,1,2012,1,1,2012,31,29,0,0,0,[4],1.0,,es_824,4.0
4435,4435,1,5513,GEODESIA GEOMETRICA,CGF-PLS09 ,6,1,2012,1,1,2012,31,29,0,0,0,[5],1.0,,es_1050,5.0
4436,4436,1,5514,SOCIOLOGIA,CGF-PLS09 ,6,1,2012,1,1,2012,22,22,0,0,0,[5],1.0,,es_828,5.0
4437,4437,1,5514,SOCIOLOGIA,CGF-PLS09 ,6,1,2012,1,1,2012,12,21,0,0,0,[4],1.0,,es_1051,4.0
4438,4438,1,5514,SOCIOLOGIA,CGF-PLS09 ,6,1,2012,1,0,2012,12,19,0,0,0,[0],1.0,,es_413,0.0
4439,4439,1,5516,HIDROLOGIA GENERAL E HIDRAULICA,CGF-175-09,6,1,2012,1,1,2012,15,33,0,0,0,[5],1.0,,es_1048,5.0
4440,4440,1,5516,HIDROLOGIA GENERAL E HIDRAULICA,CGF-PLS09 ,6,1,2012,1,0,0,11,0,10,0,0,[0],1.0,,es_255,0.0
4441,4441,1,5516,HIDROLOGIA GENERAL E HIDRAULICA,CGF-175-09,6,1,2012,1,1,2012,9,28,0,0,0,[2],1.0,,es_1049,2.0
4442,4442,1,5516,HIDROLOGIA GENERAL E HIDRAULICA,CGF-PLS09 ,6,1,2012,1,0,2012,16,28,10,0,0,[0],1.0,,es_824,0.0
4443,4443,1,5516,HIDROLOGIA GENERAL E HIDRAULICA,CGF-PLS09 ,6,1,2012,1,1,2012,20,26,10,0,0,[5],1.0,,es_365,5.0
4444,4444,1,5517,CARTOGRAFIA 2,CGF-PLS09 ,6,1,2012,1,1,2012,20,41,0,0,0,[5],1.0,,es_824,5.0
4445,4445,1,5517,CARTOGRAFIA 2,CGF-PLS09 ,6,1,2012,1,1,2012,25,39,0,0,0,[5],1.0,,es_1050,5.0
4446,4446,1,5523,LEVANTAMIENTO REGIONALES Y CATASTRALES,CGF-PLS09 ,8,1,2012,1,1,2012,15,32,0,0,0,"[1, 5]",1.0,,es_1052,3.0
4447,4447,1,5524,ASTRONOMIA,CGF-175-09,8,1,2012,1,1,2012,18,35,0,0,0,[4],1.0,,es_1048,4.0
4448,4448,1,5524,ASTRONOMIA,CGF-175-09,8,1,2012,1,1,2012,21,35,0,0,0,[5],1.0,,es_1049,5.0
4449,4449,1,5524,ASTRONOMIA,CGF-175-09,8,1,2012,1,1,2012,18,33,0,0,0,[4],1.0,,es_170,4.0
4450,4450,1,5525,GEOMORFOLOGIA,CGF-PLS09 ,8,1,2012,1,0,0,16,0,0,0,0,[0],1.0,,es_1053,0.0
4451,4451,1,5525,GEOMORFOLOGIA,CGF-PLS09 ,8,1,2012,1,0,0,11,0,0,0,0,[0],0.0,,es_414,0.0
4452,4452,1,5527,GEODESIA GRAVIMETRICA,CGF-PLS09 ,8,1,2012,1,1,2012,25,35,9,0,0,[5],1.0,,es_1054,5.0
4453,4453,1,5527,GEODESIA GRAVIMETRICA,CGF-PLS09 ,8,1,2012,1,1,2012,20,35,7,0,0,[5],1.0,,es_1053,5.0
4454,4454,1,5527,GEODESIA GRAVIMETRICA,CGF-PLS09 ,8,1,2012,1,1,2012,25,35,9,0,0,[5],1.0,,es_1045,5.0
4455,4455,1,5527,GEODESIA GRAVIMETRICA,CGF-PLS09 ,8,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_1055,0.0
4456,4456,1,5527,GEODESIA GRAVIMETRICA,CGF-PLS09 ,8,1,2012,1,1,2012,0,0,0,0,0,[4],1.0,,es_1046,4.0
4457,4457,1,5527,GEODESIA GRAVIMETRICA,CGF-PLS09 ,8,1,2012,1,1,2012,25,33,5,0,0,[5],1.0,,es_1047,5.0
4458,4458,1,5527,GEODESIA GRAVIMETRICA,CGF-PLS09 ,8,1,2012,1,1,2012,15,35,4,0,0,[5],1.0,,es_579,5.0
4459,4459,1,5527,GEODESIA GRAVIMETRICA,CGF-PLS09 ,8,1,2012,1,1,2012,25,33,4,0,0,[5],1.0,,es_1050,5.0
4460,4460,1,5527,GEODESIA GRAVIMETRICA,CGF-PLS09 ,8,1,2012,1,1,2012,25,35,9,0,0,[4],1.0,,es_443,4.0
4461,4461,1,5532,CONTABILIDAD Y ADM. FINANCIERA,CGF-PLS09 ,9,1,2012,1,0,0,14,15,4,0,0,[0],1.0,,es_1056,0.0
4462,4462,1,5533,EVALUACION Y GESTION AMBIENTAL,CGF-PLS09 ,10,1,2012,1,0,2012,0,0,0,0,0,[0],1.0,,es_411,0.0
4463,4463,1,5533,EVALUACION Y GESTION AMBIENTAL,CGF-PLS09 ,10,1,2012,1,0,2012,0,0,0,0,0,[0],1.0,,es_413,0.0
4464,4464,1,5534,VIAS DE COMUNICACION,CGF-PLS09 ,10,1,2012,1,0,2012,13,18,4,0,0,[1],1.0,,es_1053,1.0
4465,4465,1,5534,VIAS DE COMUNICACION,CGF-PLS09 ,10,1,2012,1,1,2012,15,26,4,0,0,[3],1.0,,es_824,3.0
4466,4466,1,5534,VIAS DE COMUNICACION,CGF-PLS09 ,10,1,2012,1,1,2012,20,20,4,0,0,[3],1.0,,es_1057,3.0
4467,4467,1,5534,VIAS DE COMUNICACION,CGF-PLS09 ,10,1,2012,1,0,2012,15,21,0,0,0,[0],1.0,,es_172,0.0
4468,4468,1,5534,VIAS DE COMUNICACION,CGF-PLS09 ,10,1,2012,1,0,0,17,11,0,0,0,[0],1.0,,es_171,0.0
4469,4469,1,5535,AVALUO Y TASACION,CGF-PLS09 ,10,1,2012,1,0,2012,11,17,7,0,0,[0],1.0,,es_822,0.0
4470,4470,1,5535,AVALUO Y TASACION,CGF-175-09,10,1,2012,1,0,2012,7,22,6,0,0,[1],1.0,,es_1048,1.0
4473,4473,1,5535,AVALUO Y TASACION,CGF-PLS09 ,10,1,2012,1,0,0,0,0,0,0,0,[0],0.0,,es_1056,0.0
