,ciclo,Asignatura,Cod.Car.Sec,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom,Firma
4429,1,SENSORES REMOTOS 2,0,1,2012,1,2012,14,29,10,[3],es_1048,3.0,True
4430,1,SENSORES REMOTOS 2,0,1,2012,1,2012,10,29,10,[3],es_1049,3.0,True
4431,1,SENSORES REMOTOS 2,0,1,2012,1,2012,0,0,0,"[1, 3]",es_169,2.0,True
4432,1,SENSORES REMOTOS 2,0,1,2012,1,2012,21,29,10,[5],es_170,5.0,True
4433,1,GEODESIA GEOMETRICA,0,1,2012,0,0,0,18,0,[0],es_414,0.0,False
4434,1,GEODESIA GEOMETRICA,0,1,2012,1,2012,31,29,0,[4],es_824,4.0,True
4435,1,GEODESIA GEOMETRICA,0,1,2012,1,2012,31,29,0,[5],es_1050,5.0,True
4436,1,SOCIOLOGIA,0,1,2012,1,2012,22,22,0,[5],es_828,5.0,True
4437,1,SOCIOLOGIA,0,1,2012,1,2012,12,21,0,[4],es_1051,4.0,True
4438,1,SOCIOLOGIA,0,1,2012,0,2012,12,19,0,[0],es_413,0.0,True
4439,1,HIDROLOGIA GENERAL E HIDRAULICA,0,1,2012,1,2012,15,33,0,[5],es_1048,5.0,True
4440,1,HIDROLOGIA GENERAL E HIDRAULICA,0,1,2012,0,0,11,0,10,[0],es_255,0.0,False
4441,1,HIDROLOGIA GENERAL E HIDRAULICA,0,1,2012,1,2012,9,28,0,[2],es_1049,2.0,True
4442,1,HIDROLOGIA GENERAL E HIDRAULICA,0,1,2012,0,2012,16,28,10,[0],es_824,0.0,True
4443,1,HIDROLOGIA GENERAL E HIDRAULICA,0,1,2012,1,2012,20,26,10,[5],es_365,5.0,True
4444,1,CARTOGRAFIA 2,0,1,2012,1,2012,20,41,0,[5],es_824,5.0,True
4445,1,CARTOGRAFIA 2,0,1,2012,1,2012,25,39,0,[5],es_1050,5.0,True
4446,1,LEVANTAMIENTO REGIONALES Y CATASTRALES,0,1,2012,1,2012,15,32,0,"[1, 5]",es_1052,3.0,True
4447,1,ASTRONOMIA,0,1,2012,1,2012,18,35,0,[4],es_1048,4.0,True
4448,1,ASTRONOMIA,0,1,2012,1,2012,21,35,0,[5],es_1049,5.0,True
4449,1,ASTRONOMIA,0,1,2012,1,2012,18,33,0,[4],es_170,4.0,True
4450,1,GEOMORFOLOGIA,0,1,2012,0,0,16,0,0,[0],es_1053,0.0,False
4451,1,GEOMORFOLOGIA,0,1,2012,0,0,11,0,0,[0],es_414,0.0,False
4452,1,GEODESIA GRAVIMETRICA,0,1,2012,1,2012,25,35,9,[5],es_1054,5.0,True
4453,1,GEODESIA GRAVIMETRICA,0,1,2012,1,2012,20,35,7,[5],es_1053,5.0,True
4454,1,GEODESIA GRAVIMETRICA,0,1,2012,1,2012,25,35,9,[5],es_1045,5.0,True
4455,1,GEODESIA GRAVIMETRICA,0,1,2012,0,0,0,0,0,[0],es_1055,0.0,False
4456,1,GEODESIA GRAVIMETRICA,0,1,2012,1,2012,0,0,0,[4],es_1046,4.0,True
4457,1,GEODESIA GRAVIMETRICA,0,1,2012,1,2012,25,33,5,[5],es_1047,5.0,True
4458,1,GEODESIA GRAVIMETRICA,0,1,2012,1,2012,15,35,4,[5],es_579,5.0,True
4459,1,GEODESIA GRAVIMETRICA,0,1,2012,1,2012,25,33,4,[5],es_1050,5.0,True
4460,1,GEODESIA GRAVIMETRICA,0,1,2012,1,2012,25,35,9,[4],es_443,4.0,True
4461,1,CONTABILIDAD Y ADM. FINANCIERA,0,1,2012,0,0,14,15,4,[0],es_1056,0.0,False
4462,1,EVALUACION Y GESTION AMBIENTAL,0,1,2012,0,2012,0,0,0,[0],es_411,0.0,True
4463,1,EVALUACION Y GESTION AMBIENTAL,0,1,2012,0,2012,0,0,0,[0],es_413,0.0,True
4464,1,VIAS DE COMUNICACION,0,1,2012,0,2012,13,18,4,[1],es_1053,1.0,True
4465,1,VIAS DE COMUNICACION,0,1,2012,1,2012,15,26,4,[3],es_824,3.0,True
4466,1,VIAS DE COMUNICACION,0,1,2012,1,2012,20,20,4,[3],es_1057,3.0,True
4467,1,VIAS DE COMUNICACION,0,1,2012,0,2012,15,21,0,[0],es_172,0.0,True
4468,1,VIAS DE COMUNICACION,0,1,2012,0,0,17,11,0,[0],es_171,0.0,False
4469,1,AVALUO Y TASACION,0,1,2012,0,2012,11,17,7,[0],es_822,0.0,True
4470,1,AVALUO Y TASACION,0,1,2012,0,2012,7,22,6,[1],es_1048,1.0,True
4473,1,AVALUO Y TASACION,0,1,2012,0,0,0,0,0,[0],es_1056,0.0,False
4479,1,AVALUO Y TASACION,0,1,2012,0,0,9,23,10,[0],es_413,0.0,False
4486,1,AVALUO Y TASACION,0,1,2012,0,0,7,0,0,[0],es_172,0.0,False
4492,1,AVALUO Y TASACION,0,1,2012,0,0,12,0,0,[0],es_171,0.0,False
4499,1,ADMINISTRACION DE EMPRESAS,0,1,2012,1,2011,0,0,0,[3],es_411,3.0,True
4500,1,ADMINISTRACION DE EMPRESAS,0,1,2012,0,2012,21,21,2,[0],es_123,0.0,True
4501,1,ADMINISTRACION DE EMPRESAS,0,1,2012,0,0,0,0,0,[0],es_579,0.0,False
4502,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,1,2012,26,20,0,[2],es_1051,2.0,True
4503,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,1,2012,13,22,0,[4],es_822,4.0,True
4504,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,0,2,0,0,[0],es_255,0.0,False
4505,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,0,0,0,0,[0],es_411,0.0,False
4506,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,2012,23,18,0,[1],es_1054,1.0,True
4507,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,2012,28,17,0,[0],es_1053,0.0,True
4508,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,2012,32,26,0,[0],es_413,0.0,True
4509,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,2012,14,18,0,[0],es_1045,0.0,True
4510,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,1,2012,29,29,0,[4],es_824,4.0,True
4511,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,2012,16,19,0,[0],es_1057,0.0,True
4512,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,0,0,0,0,[0],es_172,0.0,False
4513,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,0,13,20,0,[0],es_1047,0.0,False
4514,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,0,0,0,0,[0],es_579,0.0,False
4515,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,0,7,17,0,[0],es_443,0.0,False
4516,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,0,0,0,0,[0],es_171,0.0,False
4517,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,2012,19,18,0,[0],es_365,0.0,True
4518,1,POLITICA Y LEGISLACION PROFESIONAL,0,1,2012,0,0,0,0,0,[0],es_1059,0.0,False
5615,2,TOPOGRAFIA 2,0,1,2012,0,0,14,8,2,[0],es_255,0.0,False
5616,2,TOPOGRAFIA 2,0,1,2012,0,2012,15,12,10,[0],es_414,0.0,True
5617,2,TOPOGRAFIA 2,0,1,2012,0,0,15,8,2,[0],es_1045,0.0,False
5618,2,TOPOGRAFIA 2,0,1,2012,0,2012,14,19,2,[1],es_829,1.0,True
5619,2,TOPOGRAFIA 2,0,1,2012,1,2012,16,21,10,[4],es_1046,4.0,True
5620,2,TOPOGRAFIA 2,0,1,2012,0,2012,13,20,2,[0],es_1047,0.0,True
5621,2,TOPOGRAFIA 2,0,1,2012,0,0,0,8,2,[0],es_579,0.0,False
5622,2,TOPOGRAFIA 2,0,1,2012,1,2012,19,23,10,[5],es_443,5.0,True
5623,2,TOPOGRAFIA 2,0,1,2012,0,2012,17,23,10,[0],es_365,0.0,True
5624,2,SENSORES REMOTOS 1,0,1,2012,1,2012,21,24,10,[3],es_1048,3.0,True
5625,2,SENSORES REMOTOS 1,0,1,2012,0,0,0,0,0,[0],es_1500,0.0,False
5626,2,SENSORES REMOTOS 1,0,1,2012,1,2012,17,30,10,[5],es_1501,5.0,True
5627,2,SENSORES REMOTOS 1,0,1,2012,1,2012,7,31,10,[3],es_255,3.0,True
5628,2,SENSORES REMOTOS 1,0,1,2012,1,2012,22,22,10,[5],es_1049,5.0,True
5629,2,SENSORES REMOTOS 1,0,1,2012,1,2012,22,26,10,[5],es_1046,5.0,True
5630,2,SENSORES REMOTOS 1,0,1,2012,1,2012,18,27,5,[5],es_365,5.0,True
5631,2,SENSORES REMOTOS 1,0,1,2012,1,2012,11,25,10,[3],es_253,3.0,True
5632,2,GEOLOGIA DEL PARAGUAY,0,1,2012,1,2012,22,34,10,[5],es_255,5.0,True
5633,2,GEOLOGIA DEL PARAGUAY,0,1,2012,1,2012,17,34,10,[5],es_1054,5.0,True
5634,2,GEOLOGIA DEL PARAGUAY,0,1,2012,1,2012,23,31,10,[5],es_1045,5.0,True
5635,2,GEOLOGIA DEL PARAGUAY,0,1,2012,1,2012,23,34,10,[5],es_1046,5.0,True
5636,2,GEOLOGIA DEL PARAGUAY,0,1,2012,1,2012,17,31,10,[5],es_1047,5.0,True
5637,2,GEOLOGIA DEL PARAGUAY,0,1,2012,1,2012,23,31,10,[5],es_579,5.0,True
5638,2,GEOLOGIA DEL PARAGUAY,0,1,2012,1,2012,22,29,10,[5],es_1050,5.0,True
5639,2,GEOLOGIA DEL PARAGUAY,0,1,2012,1,2012,20,34,10,[5],es_443,5.0,True
5640,2,FOTOGRAMETRIA 2,0,1,2012,1,2012,0,29,10,[4],es_1501,4.0,True
5641,2,FOTOGRAMETRIA 2,0,1,2012,1,2012,15,25,10,[4],es_255,4.0,True
5642,2,FOTOGRAMETRIA 2,0,1,2012,1,2012,22,25,10,[5],es_1046,5.0,True
5643,2,FOTOGRAMETRIA 2,0,1,2012,1,2012,23,17,10,[4],es_365,4.0,True
5644,2,CARTOGRAFIA 1,0,1,2012,0,0,20,0,0,[0],es_255,0.0,False
5645,2,CARTOGRAFIA 1,0,1,2012,1,2012,20,22,7,[2],es_414,2.0,True
5646,2,CARTOGRAFIA 1,0,1,2012,0,0,20,0,0,[0],es_1045,0.0,False
5647,2,CARTOGRAFIA 1,0,1,2012,1,2012,19,24,7,[3],es_1046,3.0,True
5648,2,CARTOGRAFIA 1,0,1,2012,0,0,0,0,0,[0],es_844,0.0,False
5649,2,CARTOGRAFIA 1,0,1,2012,0,0,18,12,7,[0],es_1047,0.0,False
5650,2,CARTOGRAFIA 1,0,1,2012,0,0,0,0,0,[0],es_579,0.0,False
5651,2,CARTOGRAFIA 1,0,1,2012,1,2012,27,22,7,[4],es_443,4.0,True
5652,2,CARTOGRAFIA 1,0,1,2012,1,2012,18,31,7,[4],es_365,4.0,True
5653,2,GEOGRAFIA HUMANA,0,1,2012,0,2012,24,22,10,[0],es_443,0.0,True
5654,2,ECONOMIA POLITICA,0,1,2012,1,2012,25,25,10,[5],es_1051,5.0,True
5655,2,CARTOGRAFIA DIGITAL APLICADA,0,1,2012,1,2012,14,9,0,[2],es_1048,2.0,True
5656,2,CARTOGRAFIA DIGITAL APLICADA,0,1,2012,0,0,0,0,0,[0],es_1500,0.0,False
5657,2,CARTOGRAFIA DIGITAL APLICADA,0,1,2012,1,2012,16,19,7,[4],es_1501,4.0,True
5658,2,CARTOGRAFIA DIGITAL APLICADA,0,1,2012,1,2012,15,27,7,[4],es_1049,4.0,True
5659,2,CARTOGRAFIA DIGITAL APLICADA,0,1,2012,1,2012,20,21,7,[4],es_824,4.0,True
5660,2,CARTOGRAFIA DIGITAL APLICADA,0,1,2012,1,2012,16,29,7,[4],es_1050,4.0,True
5661,2,CARTOGRAFIA DIGITAL APLICADA,0,1,2012,1,2012,12,16,7,[3],es_253,3.0,True
5662,2,GEODESIA SATELITAL,0,1,2012,1,2012,12,22,10,[2],es_1048,2.0,True
5663,2,GEODESIA SATELITAL,0,1,2012,0,0,0,0,0,[0],es_1500,0.0,False
5664,2,GEODESIA SATELITAL,0,1,2012,1,2012,12,15,9,[3],es_1501,3.0,True
5665,2,GEODESIA SATELITAL,0,1,2012,1,2012,9,20,10,[3],es_1049,3.0,True
