,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom,Firma
303,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,0,0,0,0,0,[0],es_184,0.0,False
304,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,17,34,0,[5],es_185,5.0,True
305,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,24,36,0,[5],es_186,5.0,True
306,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,14,36,0,[5],es_187,5.0,True
307,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,22,34,0,[5],es_188,5.0,True
309,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,24,36,0,[5],es_190,5.0,True
310,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,18,36,0,[5],es_191,5.0,True
311,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,11,30,0,[4],es_192,4.0,True
312,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,5,34,0,[4],es_193,4.0,True
313,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,10,34,0,[5],es_194,5.0,True
314,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,24,36,0,[5],es_195,5.0,True
315,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,19,34,0,[5],es_196,5.0,True
317,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,0,0,0,0,0,[0],es_198,0.0,False
318,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,0,0,12,34,0,[0],es_199,0.0,False
319,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,22,32,0,[5],es_200,5.0,True
321,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,17,32,0,[5],es_202,5.0,True
322,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,18,36,0,[5],es_203,5.0,True
323,1,FUNDAMENTOS DE MEDIO DE RED,1,2012,1,2012,20,36,0,[5],es_204,5.0,True
324,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,23,36,0,[5],es_205,5.0,True
325,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,22,36,0,[5],es_206,5.0,True
326,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,18,36,0,[5],es_207,5.0,True
329,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,0,0,0,0,0,[0],es_210,0.0,False
330,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,0,0,22,36,0,[0],es_211,0.0,False
331,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,22,36,0,[5],es_212,5.0,True
333,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,22,36,0,[5],es_214,5.0,True
334,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,23,36,0,[5],es_215,5.0,True
336,1,SIST.DE COMUNICACIONES CELULARES 1,1,2012,1,2012,22,36,0,[5],es_201,5.0,True
337,1,MICROELECTRONICA,1,2012,1,2012,22,28,8,[5],es_217,5.0,True
338,1,MICROELECTRONICA,1,2012,1,2012,23,29,10,[5],es_186,5.0,True
339,1,MICROELECTRONICA,1,2012,1,2012,23,33,9,[5],es_218,5.0,True
340,1,MICROELECTRONICA,1,2012,1,2012,23,28,10,[5],es_219,5.0,True
341,1,MICROELECTRONICA,1,2012,1,2012,21,29,9,[5],es_187,5.0,True
342,1,MICROELECTRONICA,1,2012,1,2012,21,29,9,[5],es_194,5.0,True
343,1,MICROELECTRONICA,1,2012,1,2012,21,28,10,[5],es_220,5.0,True
344,1,MICROELECTRONICA,1,2012,1,2012,22,32,8,[5],es_221,5.0,True
345,1,MICROELECTRONICA,1,2012,0,0,0,0,0,[0],es_222,0.0,False
346,1,MICROELECTRONICA,1,2012,1,2012,22,30,10,[5],es_223,5.0,True
347,1,MICROELECTRONICA,1,2012,1,2012,20,31,10,[5],es_224,5.0,True
348,1,MICROELECTRONICA,1,2012,0,2012,19,5,9,[0],es_225,0.0,True
349,1,MICROELECTRONICA,1,2012,1,2012,24,33,10,[5],es_226,5.0,True
350,1,MICROELECTRONICA,1,2012,1,2012,22,30,8,[5],es_227,5.0,True
351,1,MICROELECTRONICA,1,2012,0,2012,19,9,9,[0],es_228,0.0,True
352,1,MICROELECTRONICA,1,2012,1,2012,22,36,10,[5],es_229,5.0,True
353,1,MICROELECTRONICA,1,2012,1,2012,22,31,9,[5],es_230,5.0,True
354,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,0,0,12,0,0,[0],es_206,0.0,False
356,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,22,25,0,[5],es_231,5.0,True
357,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,22,27,0,[5],es_232,5.0,True
358,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,17,25,0,[4],es_233,4.0,True
359,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,19,24,0,[5],es_234,5.0,True
360,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,24,36,0,[5],es_191,5.0,True
361,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,0,0,9,0,0,[0],es_209,0.0,False
362,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,22,36,0,[5],es_194,5.0,True
363,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,22,27,0,[5],es_235,5.0,True
364,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,24,25,0,[5],es_198,5.0,True
366,1,INSTRUMENTACION Y MEDICIONES ELECTRICAS,1,2012,1,2012,23,18,0,[3],es_228,3.0,True
368,1,TELEVISION SOBRE IP,1,2012,0,0,16,0,8,[0],es_236,0.0,False
369,1,TELEVISION SOBRE IP,1,2012,0,0,0,0,0,[0],es_189,0.0,False
370,1,TELEVISION SOBRE IP,1,2012,1,2012,24,36,10,[5],es_190,5.0,True
371,1,TELEVISION SOBRE IP,1,2012,1,2012,18,28,6,[4],es_220,4.0,True
372,1,TELEVISION SOBRE IP,1,2012,1,2012,6,33,6,[4],es_222,4.0,True
373,1,TELEVISION SOBRE IP,1,2012,1,2012,24,36,10,[5],es_237,5.0,True
374,1,TELEVISION SOBRE IP,1,2012,1,2012,24,36,10,[5],es_238,5.0,True
375,1,TELEVISION SOBRE IP,1,2012,0,0,0,0,0,[0],es_239,0.0,False
376,1,TELEVISION SOBRE IP,1,2012,1,2012,24,36,10,[5],es_223,5.0,True
377,1,TELEVISION SOBRE IP,1,2012,1,2012,12,14,6,[2],es_240,2.0,True
379,1,TELEVISION SOBRE IP,1,2012,1,2012,16,21,7,[2],es_225,2.0,True
380,1,TELEVISION SOBRE IP,1,2012,1,2012,24,36,10,[5],es_226,5.0,True
381,1,TELEVISION SOBRE IP,1,2012,0,0,17,21,7,[0],es_227,0.0,False
382,1,TELEVISION SOBRE IP,1,2012,1,2012,24,36,10,[5],es_229,5.0,True
383,1,TELEVISION SOBRE IP,1,2012,0,0,12,0,8,[0],es_202,0.0,False
3846,1,MAQUINAS ELECTRICAS,1,2012,1,2012,15,24,0,[3],es_960,3.0,True
3847,1,MAQUINAS ELECTRICAS,1,2012,1,2012,20,23,0,[3],es_977,3.0,True
3848,1,MAQUINAS ELECTRICAS,1,2012,1,2012,18,9,0,[2],es_978,2.0,True
3849,1,MAQUINAS ELECTRICAS,1,2012,0,0,4,9,0,[0],es_186,0.0,False
3850,1,MAQUINAS ELECTRICAS,1,2012,1,2012,23,16,0,[3],es_218,3.0,True
3851,1,MAQUINAS ELECTRICAS,1,2012,0,0,0,0,0,[0],es_979,0.0,False
3852,1,MAQUINAS ELECTRICAS,1,2012,0,0,1,0,0,[0],es_980,0.0,False
3853,1,MAQUINAS ELECTRICAS,1,2012,0,0,0,9,0,[0],es_963,0.0,False
3854,1,MAQUINAS ELECTRICAS,1,2012,0,0,0,18,0,[0],es_187,0.0,False
3855,1,MAQUINAS ELECTRICAS,1,2012,1,2012,12,14,0,[4],es_981,4.0,True
3856,1,MAQUINAS ELECTRICAS,1,2012,1,2012,18,24,0,[3],es_231,3.0,True
3857,1,MAQUINAS ELECTRICAS,1,2012,0,0,0,0,0,[0],es_905,0.0,False
3858,1,MAQUINAS ELECTRICAS,1,2012,0,0,0,0,0,[0],es_965,0.0,False
3859,1,MAQUINAS ELECTRICAS,1,2012,0,0,13,0,0,[0],es_232,0.0,False
3860,1,MAQUINAS ELECTRICAS,1,2012,0,0,0,0,0,[0],es_233,0.0,False
3861,1,MAQUINAS ELECTRICAS,1,2012,0,0,9,0,0,[0],es_234,0.0,False
3862,1,MAQUINAS ELECTRICAS,1,2012,1,2012,24,35,0,[5],es_191,5.0,True
3863,1,MAQUINAS ELECTRICAS,1,2012,1,2012,6,18,0,[5],es_982,5.0,True
3864,1,MAQUINAS ELECTRICAS,1,2012,1,2012,12,15,0,[5],es_983,5.0,True
3865,1,MAQUINAS ELECTRICAS,1,2012,0,0,0,18,0,[0],es_192,0.0,False
3866,1,MAQUINAS ELECTRICAS,1,2012,1,2012,16,24,0,[3],es_193,3.0,True
3867,1,MAQUINAS ELECTRICAS,1,2012,1,2012,16,27,0,[4],es_194,4.0,True
3868,1,MAQUINAS ELECTRICAS,1,2012,1,2011,18,24,0,[3],es_984,3.0,True
3869,1,MAQUINAS ELECTRICAS,1,2012,0,0,0,0,0,[0],es_985,0.0,False
3870,1,MAQUINAS ELECTRICAS,1,2012,1,2011,13,0,0,"[1, 2]",es_986,1.5,True
3871,1,MAQUINAS ELECTRICAS,1,2012,1,2012,15,18,0,[5],es_987,5.0,True
3872,1,MAQUINAS ELECTRICAS,1,2012,0,2012,9,9,0,[0],es_196,0.0,True
3873,1,MAQUINAS ELECTRICAS,1,2012,0,2012,8,18,0,[1],es_988,1.0,True
3874,1,MAQUINAS ELECTRICAS,1,2012,1,2012,12,20,0,[2],es_989,2.0,True
3875,1,MAQUINAS ELECTRICAS,1,2012,1,2011,18,27,0,[5],es_239,5.0,True
3876,1,MAQUINAS ELECTRICAS,1,2012,1,2012,18,36,0,[5],es_990,5.0,True
3877,1,MAQUINAS ELECTRICAS,1,2012,0,2011,0,0,0,[0],es_198,0.0,True
3878,1,MAQUINAS ELECTRICAS,1,2012,0,0,12,15,0,[0],es_991,0.0,False
3879,1,MAQUINAS ELECTRICAS,1,2012,1,2011,12,13,0,[3],es_199,3.0,True
3880,1,MAQUINAS ELECTRICAS,1,2012,0,0,6,9,0,[0],es_951,0.0,False
3881,1,MAQUINAS ELECTRICAS,1,2012,1,2012,12,27,0,"[1, 4]",es_224,2.5,True
3882,1,MAQUINAS ELECTRICAS,1,2012,0,0,13,0,0,[0],es_228,0.0,False
3883,1,MAQUINAS ELECTRICAS,1,2012,1,2012,21,36,0,[5],es_992,5.0,True
3884,1,MAQUINAS ELECTRICAS,1,2012,1,2012,19,27,0,[4],es_230,4.0,True
3885,1,SISTEMA DE MODULACION 1,1,2012,0,0,8,2,0,[0],es_960,0.0,False
3886,1,SISTEMA DE MODULACION 1,1,2012,1,2012,0,26,0,"[1, 3]",es_993,2.0,True
3887,1,SISTEMA DE MODULACION 1,1,2012,1,2011,12,14,0,[3],es_217,3.0,True
3888,1,SISTEMA DE MODULACION 1,1,2012,1,2012,7,15,0,[3],es_236,3.0,True
3889,1,SISTEMA DE MODULACION 1,1,2012,1,2012,10,20,0,[2],es_219,2.0,True
3890,1,SISTEMA DE MODULACION 1,1,2012,0,0,1,0,0,[0],es_979,0.0,False
3891,1,SISTEMA DE MODULACION 1,1,2012,0,0,3,16,0,[0],es_963,0.0,False
3892,1,SISTEMA DE MODULACION 1,1,2012,1,2011,0,21,0,"[1, 4]",es_994,2.5,True
3893,1,SISTEMA DE MODULACION 1,1,2012,1,2012,15,20,0,[3],es_187,3.0,True
3894,1,SISTEMA DE MODULACION 1,1,2012,1,2012,12,31,0,[4],es_981,4.0,True
3895,1,SISTEMA DE MODULACION 1,1,2012,0,0,6,0,0,[0],es_995,0.0,False
3896,1,SISTEMA DE MODULACION 1,1,2012,0,0,3,0,0,[0],es_232,0.0,False
3897,1,SISTEMA DE MODULACION 1,1,2012,0,0,5,1,0,[0],es_233,0.0,False
3898,1,SISTEMA DE MODULACION 1,1,2012,1,2012,11,20,0,[3],es_234,3.0,True
3899,1,SISTEMA DE MODULACION 1,1,2012,1,2012,17,36,0,[5],es_191,5.0,True
3900,1,SISTEMA DE MODULACION 1,1,2012,1,2012,16,29,0,[4],es_982,4.0,True
3901,1,SISTEMA DE MODULACION 1,1,2012,0,0,7,6,0,[0],es_996,0.0,False
3902,1,SISTEMA DE MODULACION 1,1,2012,0,0,4,14,0,[0],es_966,0.0,False
3903,1,SISTEMA DE MODULACION 1,1,2012,1,2012,22,20,0,[5],es_983,5.0,True
3904,1,SISTEMA DE MODULACION 1,1,2012,0,2012,4,23,0,[0],es_997,0.0,True
3905,1,SISTEMA DE MODULACION 1,1,2012,0,2011,0,0,0,[0],es_998,0.0,True
3906,1,SISTEMA DE MODULACION 1,1,2012,1,2011,10,14,0,[3],es_968,3.0,True
3907,1,SISTEMA DE MODULACION 1,1,2012,0,0,8,14,0,[0],es_984,0.0,False
3908,1,SISTEMA DE MODULACION 1,1,2012,0,2012,5,23,0,[1],es_985,1.0,True
3909,1,SISTEMA DE MODULACION 1,1,2012,1,2012,12,31,0,[5],es_987,5.0,True
3910,1,SISTEMA DE MODULACION 1,1,2012,0,2011,12,15,0,[1],es_235,1.0,True
3911,1,SISTEMA DE MODULACION 1,1,2012,1,2012,14,23,0,[4],es_221,4.0,True
3912,1,SISTEMA DE MODULACION 1,1,2012,1,2012,18,22,0,[3],es_195,3.0,True
3913,1,SISTEMA DE MODULACION 1,1,2012,1,2012,7,19,0,[2],es_238,2.0,True
3914,1,SISTEMA DE MODULACION 1,1,2012,1,2011,13,22,0,"[1, 3]",es_239,2.0,True
3915,1,SISTEMA DE MODULACION 1,1,2012,1,2012,16,20,0,[5],es_990,5.0,True
3916,1,SISTEMA DE MODULACION 1,1,2012,1,2012,11,20,0,[3],es_198,3.0,True
3917,1,SISTEMA DE MODULACION 1,1,2012,1,2012,17,27,0,[5],es_227,5.0,True
3918,1,SISTEMA DE MODULACION 1,1,2012,1,2012,10,24,0,[3],es_200,3.0,True
3919,1,SISTEMA DE MODULACION 1,1,2012,1,2012,13,30,0,[5],es_992,5.0,True
3920,1,SISTEMA DE MODULACION 1,1,2012,1,2011,13,33,0,"[1, 5]",es_203,3.0,True
3921,1,SISTEMA DE MODULACION 1,1,2012,1,2012,11,20,0,[5],es_230,5.0,True
3922,1,SISTEMA DE MODULACION 1,1,2012,1,2012,15,21,0,[3],es_204,3.0,True
3923,1,LT PARA TELECOMUNICACIONES,1,2012,1,2012,9,21,10,[2],es_960,2.0,True
3924,1,LT PARA TELECOMUNICACIONES,1,2012,1,2012,20,21,10,[4],es_999,4.0,True
3925,1,LT PARA TELECOMUNICACIONES,1,2012,1,2012,14,26,10,[3],es_977,3.0,True
3926,1,LT PARA TELECOMUNICACIONES,1,2012,0,0,1,0,5,[0],es_962,0.0,False
3927,1,LT PARA TELECOMUNICACIONES,1,2012,1,2012,7,22,10,[2],es_186,2.0,True
3928,1,LT PARA TELECOMUNICACIONES,1,2012,0,0,14,0,0,[0],es_1000,0.0,False
3929,1,LT PARA TELECOMUNICACIONES,1,2012,1,2012,12,22,10,[2],es_236,2.0,True
3930,1,LT PARA TELECOMUNICACIONES,1,2012,1,2012,18,22,10,[2],es_219,2.0,True
3931,1,LT PARA TELECOMUNICACIONES,1,2012,0,0,4,4,10,[0],es_979,0.0,False
3932,1,LT PARA TELECOMUNICACIONES,1,2012,0,2012,14,14,10,[0],es_980,0.0,True
3933,1,LT PARA TELECOMUNICACIONES,1,2012,1,2012,14,21,10,[2],es_963,2.0,True
