,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom,Firma
0,1,COMBUSTION,1,2012,0,0,0,0,0,[0],es_0,0.0,False
2,1,COMBUSTION,1,2012,1,2012,24,23,9,[5],es_2,5.0,True
5,1,COMBUSTION,1,2012,1,2012,21,21,7,[4],es_5,4.0,True
6,1,COMBUSTION,1,2012,1,2012,5,31,9,[3],es_6,3.0,True
7,1,COMBUSTION,1,2012,1,2012,23,29,8,[5],es_7,5.0,True
8,1,COMBUSTION,1,2012,1,2012,21,26,8,[5],es_8,5.0,True
9,1,COMBUSTION,1,2012,1,2012,16,15,9,[3],es_9,3.0,True
10,1,COMBUSTION,1,2012,1,2012,14,27,8,[4],es_10,4.0,True
13,1,COMBUSTION,1,2012,1,2012,0,26,9,[5],es_13,5.0,True
14,1,COMBUSTION,1,2012,1,2012,17,18,6,[4],es_14,4.0,True
15,1,COMBUSTION,1,2012,1,2012,11,16,8,[2],es_15,2.0,True
17,1,COMBUSTION,1,2012,0,0,0,0,0,[0],es_17,0.0,False
18,1,COMBUSTION,1,2012,1,2012,11,17,8,[4],es_18,4.0,True
19,1,COMBUSTION,1,2012,1,2012,20,23,9,[5],es_19,5.0,True
21,1,COMBUSTION,1,2012,0,2012,5,21,7,[0],es_21,0.0,True
22,1,COMBUSTION,1,2012,1,2012,6,24,8,[3],es_22,3.0,True
23,1,COMBUSTION,1,2012,1,2012,15,26,7,[5],es_23,5.0,True
25,1,COMBUSTION,1,2012,0,0,0,0,0,[0],es_25,0.0,False
30,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,16,27,5,[4],es_28,4.0,True
33,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,14,28,9,[5],es_31,5.0,True
34,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,16,31,10,[5],es_32,5.0,True
36,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,23,28,10,[4],es_34,4.0,True
37,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,20,19,10,[3],es_35,3.0,True
38,1,INTRODUCCION A LA SIMULACION,1,2012,0,0,0,0,0,[0],es_11,0.0,False
39,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,20,25,9,[5],es_36,5.0,True
40,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,16,27,9,[4],es_37,4.0,True
43,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,11,26,8,[4],es_13,4.0,True
45,1,INTRODUCCION A LA SIMULACION,1,2012,0,2012,13,21,9,[1],es_15,1.0,True
46,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,18,31,9,[5],es_40,5.0,True
47,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,21,28,9,[5],es_41,5.0,True
48,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,21,32,10,[5],es_17,5.0,True
49,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,23,26,9,[5],es_42,5.0,True
52,1,INTRODUCCION A LA SIMULACION,1,2012,0,0,0,0,0,[0],es_45,0.0,False
53,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,21,28,10,[5],es_46,5.0,True
54,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,12,25,5,[2],es_47,2.0,True
56,1,INTRODUCCION A LA SIMULACION,1,2012,0,0,14,24,5,[0],es_49,0.0,False
59,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,24,31,10,[5],es_52,5.0,True
60,1,INTRODUCCION A LA SIMULACION,1,2012,0,0,0,0,0,[0],es_53,0.0,False
61,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,19,23,5,[3],es_54,3.0,True
62,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,19,26,10,[4],es_55,4.0,True
64,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,14,24,10,[4],es_57,4.0,True
65,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,8,29,10,[4],es_58,4.0,True
66,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,16,32,10,[5],es_25,5.0,True
67,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,18,26,5,[3],es_59,3.0,True
68,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,18,26,10,[4],es_60,4.0,True
69,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,14,28,10,[4],es_61,4.0,True
70,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,24,29,10,[5],es_62,5.0,True
81,1,EFICIENCIA ENERGETICA,1,2012,0,0,31,30,0,[0],es_68,0.0,False
86,1,EFICIENCIA ENERGETICA,1,2012,1,2012,23,24,0,[4],es_70,4.0,True
87,1,EFICIENCIA ENERGETICA,1,2012,1,2012,30,20,0,[5],es_71,5.0,True
88,1,EFICIENCIA ENERGETICA,1,2012,1,2012,32,22,0,[5],es_72,5.0,True
89,1,EFICIENCIA ENERGETICA,1,2012,1,2012,24,21,0,[3],es_73,3.0,True
91,1,EFICIENCIA ENERGETICA,1,2012,1,2012,30,30,0,[5],es_74,5.0,True
92,1,EFICIENCIA ENERGETICA,1,2012,1,2012,29,23,0,[5],es_31,5.0,True
93,1,EFICIENCIA ENERGETICA,1,2012,1,2012,24,23,0,[4],es_6,4.0,True
94,1,EFICIENCIA ENERGETICA,1,2012,1,2012,20,34,0,[5],es_75,5.0,True
95,1,EFICIENCIA ENERGETICA,1,2012,1,2012,28,21,0,[4],es_32,4.0,True
96,1,EFICIENCIA ENERGETICA,1,2012,0,2012,20,29,0,[0],es_76,0.0,True
97,1,EFICIENCIA ENERGETICA,1,2012,1,2012,29,34,0,[5],es_34,5.0,True
98,1,EFICIENCIA ENERGETICA,1,2012,1,2012,20,28,0,[2],es_77,2.0,True
99,1,EFICIENCIA ENERGETICA,1,2012,1,2012,21,23,0,[2],es_78,2.0,True
100,1,EFICIENCIA ENERGETICA,1,2012,1,2012,28,13,0,[4],es_37,4.0,True
102,1,EFICIENCIA ENERGETICA,1,2012,1,2012,26,20,0,[5],es_79,5.0,True
103,1,EFICIENCIA ENERGETICA,1,2012,1,2012,25,14,0,[2],es_80,2.0,True
106,1,EFICIENCIA ENERGETICA,1,2012,1,2012,29,30,0,[5],es_81,5.0,True
107,1,EFICIENCIA ENERGETICA,1,2012,1,2012,24,20,0,[3],es_13,3.0,True
108,1,EFICIENCIA ENERGETICA,1,2012,1,2012,24,18,0,[5],es_82,5.0,True
109,1,EFICIENCIA ENERGETICA,1,2012,1,2012,30,24,0,[5],es_83,5.0,True
110,1,EFICIENCIA ENERGETICA,1,2012,1,2012,29,21,0,[5],es_84,5.0,True
