,ciclo,Asignatura,Convocatoria,Anho,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Nota.Final,id_anony,Nota.Prom,Firma
1,1,COMBUSTION,1,2012,1,2012,11,14,8,[5],es_1,5.0,True
3,1,COMBUSTION,1,2012,1,2012,11,14,8,"[1, 2]",es_3,1.5,True
4,1,COMBUSTION,1,2012,0,0,11,4,8,[0],es_4,0.0,False
12,1,COMBUSTION,1,2012,1,2012,17,26,9,[4],es_12,4.0,True
16,1,COMBUSTION,1,2012,1,2012,20,23,9,[4],es_16,4.0,True
20,1,COMBUSTION,1,2012,1,2012,14,24,0,[4],es_20,4.0,True
26,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,10,23,7,"[1, 3]",es_1,2.0,True
27,1,INTRODUCCION A LA SIMULACION,1,2012,0,2012,12,19,7,"[1, 1]",es_3,1.0,True
41,1,INTRODUCCION A LA SIMULACION,1,2012,0,0,0,0,0,[0],es_38,0.0,False
42,1,INTRODUCCION A LA SIMULACION,1,2012,1,2012,18,33,8,[5],es_12,5.0,True
55,1,INTRODUCCION A LA SIMULACION,1,2012,0,0,0,0,0,[0],es_48,0.0,False
71,1,INGENIERIA DE MANTENIMIENTO,1,2012,1,2012,11,14,0,"[1, 2]",es_1,1.5,True
72,1,INGENIERIA DE MANTENIMIENTO,1,2012,1,2012,14,11,0,"[1, 2]",es_63,1.5,True
73,1,INGENIERIA DE MANTENIMIENTO,1,2012,0,0,10,11,0,[0],es_4,0.0,False
74,1,INGENIERIA DE MANTENIMIENTO,1,2012,0,0,12,0,0,[0],es_64,0.0,False
75,1,INGENIERIA DE MANTENIMIENTO,1,2012,0,2012,19,23,0,[0],es_65,0.0,True
76,1,INGENIERIA DE MANTENIMIENTO,1,2012,0,0,1,0,0,[0],es_38,0.0,False
77,1,INGENIERIA DE MANTENIMIENTO,1,2012,1,2012,13,19,0,"[1, 3]",es_12,2.0,True
78,1,INGENIERIA DE MANTENIMIENTO,1,2012,0,0,0,0,0,[0],es_66,0.0,False
79,1,INGENIERIA DE MANTENIMIENTO,1,2012,0,2012,10,16,0,[0],es_16,0.0,True
80,1,INGENIERIA DE MANTENIMIENTO,1,2012,1,2012,17,20,0,"[1, 4]",es_67,2.5,True
82,1,EFICIENCIA ENERGETICA,1,2012,1,2012,26,29,0,[5],es_1,5.0,True
83,1,EFICIENCIA ENERGETICA,1,2012,1,2012,30,25,0,[5],es_69,5.0,True
84,1,EFICIENCIA ENERGETICA,1,2012,1,2012,30,24,0,[5],es_63,5.0,True
85,1,EFICIENCIA ENERGETICA,1,2012,1,2012,20,25,0,[4],es_4,4.0,True
90,1,EFICIENCIA ENERGETICA,1,2012,1,2012,27,29,0,[5],es_64,5.0,True
101,1,EFICIENCIA ENERGETICA,1,2012,1,2012,26,0,0,[5],es_65,5.0,True
104,1,EFICIENCIA ENERGETICA,1,2012,0,0,21,0,0,[0],es_38,0.0,False
105,1,EFICIENCIA ENERGETICA,1,2012,1,2012,26,26,0,[5],es_12,5.0,True
111,1,EFICIENCIA ENERGETICA,1,2012,0,0,27,0,0,[0],es_66,0.0,False
120,1,EFICIENCIA ENERGETICA,1,2012,1,2012,26,23,0,[5],es_67,5.0,True
238,1,MECANICA DE FLUIDOS AVANZADOS,1,2012,0,2012,15,16,0,"[1, 1]",es_1,1.0,True
240,1,MECANICA DE FLUIDOS AVANZADOS,1,2012,1,2012,12,20,0,[2],es_69,2.0,True
241,1,MECANICA DE FLUIDOS AVANZADOS,1,2012,1,2012,15,14,0,[2],es_63,2.0,True
244,1,MECANICA DE FLUIDOS AVANZADOS,1,2012,1,2012,19,21,0,[4],es_64,4.0,True
249,1,MECANICA DE FLUIDOS AVANZADOS,1,2012,1,2012,15,20,0,[2],es_12,2.0,True
254,1,MECANICA DE FLUIDOS AVANZADOS,1,2012,1,2012,20,24,0,[5],es_67,5.0,True
259,1,INTRODUCCION A LA FISICA ATOMICA Y MOLECULAR,1,2012,0,0,0,0,0,[0],es_69,0.0,False
273,1,INTRODUCCION A LA FISICA ATOMICA Y MOLECULAR,1,2012,0,0,0,0,0,[0],es_67,0.0,False
4555,1,ELEMENTOS DE MAQUINAS,1,2012,0,0,0,0,0,[0],es_1060,0.0,False
4556,1,ELEMENTOS DE MAQUINAS,1,2012,1,2012,10,28,0,[4],es_69,4.0,True
4557,1,ELEMENTOS DE MAQUINAS,1,2012,1,2012,7,23,0,[3],es_63,3.0,True
4558,1,ELEMENTOS DE MAQUINAS,1,2012,1,2011,0,0,0,[3],es_3,3.0,True
4562,1,ELEMENTOS DE MAQUINAS,1,2012,0,0,0,0,0,[0],es_38,0.0,False
4563,1,ELEMENTOS DE MAQUINAS,1,2012,1,2012,14,23,0,"[1, 3]",es_12,2.0,True
4566,1,ELEMENTOS DE MAQUINAS,1,2012,0,2011,0,0,0,[0],es_48,0.0,True
4569,1,ELECTRONICA BASICA,1,2012,0,0,0,0,0,[0],es_589,0.0,False
4570,1,PROCESOS DE FABRICACION 1,1,2012,0,0,10,0,0,[0],es_1060,0.0,False
4571,1,PROCESOS DE FABRICACION 1,1,2012,1,2012,14,18,0,[2],es_675,2.0,True
4572,1,PROCESOS DE FABRICACION 1,1,2012,1,2012,13,16,0,[2],es_472,2.0,True
4573,1,PROCESOS DE FABRICACION 1,1,2012,1,2012,12,19,0,[3],es_1061,3.0,True
4574,1,PROCESOS DE FABRICACION 1,1,2012,1,2012,20,24,0,[4],es_3,4.0,True
