Asignatura,Code
ACONDICIONADOR DE AIRE Y REFRIGERACION,0
ACONDICIONAMIENTO DEL AIRE Y REFRIGERACION,1
ACTUADORES Y MAQ. ELECTRICAS 1,2
ACTUADORES Y MAQUINAS ELECTRICAS,3
ADMINISTRACION DE EMPRESAS,4
ADMINISTRACION DE RR HH,5
AEROTRIANGULACION,6
AIRE ACONDICIONADO Y REFRIGERACION,7
ALGEBRA LINEAL 1,8
ALGEBRA LINEAL 2,9
ALGORITMOS,10
ALGORITMOS 1,11
ALGORITMOS 2,12
ANALISIS DE SISTEMAS,13
ANTENAS,14
ARQUITECTURA IP CONVERGENTE,15
ASTRONOMIA,16
AUTOMATIZACION Y CONTROL,17
AUTOMOTORES,18
AVALUO Y TASACION,19
BASE DE DATOS,20
BIOLOGIA AMBIENTAL,21
CABLEADO ESTRUCTURADO,22
CALCULO 1,23
CALCULO 2,24
CALCULO 3,25
CALCULO 4,26
CALCULO 5,27
CALIDAD E IMPACTO AMBIENTAL,28
CARTOGRAFIA 1,29
CARTOGRAFIA 2,30
CARTOGRAFIA DIGITAL APLICADA,31
CENTRALES ELECTRICAS,32
CIENCIA DE LOS MATERIALES,33
CIENCIA Y TECNOLOGIA DE LOS MATERIALES,34
CIENCIAS DE LOS MATERIALES,35
CIENCIAS SOCIALES,36
CIRCUITOS ELECTRICOS,37
COMBUSTION,38
COMERCIALIZACION,39
COMPUTACION,40
COMUNICACIONES MOVILES,41
COMUNICACIONES OPTICAS,42
CONSTRUCCIONES 1,43
CONSTRUCCIONES 2,44
CONSTRUCCIONES 3,45
CONTABILIDAD,46
CONTABILIDAD FINANCIERA,47
CONTABILIDAD Y ADM. FINANCIERA,48
CONTABILIDAD Y FINANZAS,49
CONTROL NUMERICO COMPUTARIZADO,50
CONTROLADORES LOGICOS,51
COSTOS INDUSTRIALES,52
CUENCAS HIDROLOGICAS Y EL DESARROLLO TERRITORIAL PARA LA GES,53
DIBUJO MECANICO,54
DIBUJO TECNICO,55
DINAMICA,56
DINAMICA DE MAQUINAS Y VIBRACIONES,57
DISEÑO DE INST. INDUSTRIALES 1,58
DISEÑO DE INST. INDUSTRIALES 2,59
DISEÑO DE INSTALACIONES P/ INDUSTRIAS 1,60
DISEÑO DE INSTALACIONES P/ INSDUSTRIAS 2,61
DISEÑO DE SIST. DE MANUF.,62
DISEÑO DE SISTEMAS DE MANUFACTURA,63
DISEÑO LOGICO DIGITAL,64
DISEÑO LOGICO DIGITAL 1,65
DISEÑO LOGICO DIGITAL 2,66
DISTRIBUCION DE ENERGIA ELECTRICA,67
ECONOMIA,68
ECONOMIA POLITICA,69
ECONOMIA Y EVALUACION DE PROYECTO,70
EDAFOLOGIA,71
EFICIENCIA ENERGETICA,72
ELECTRICIDAD Y CIRCUITOS ELECTRICOS,73
ELECTROMAGNETISMO,74
ELECTROMAGNETISMO 1,75
ELECTROMAGNETISMO 2,76
ELECTRONICA 1,77
ELECTRONICA 2,78
ELECTRONICA 3,79
ELECTRONICA BASICA,80
ELECTRONICA BASICA INDUSTRIAL,81
ELECTRONICA INDUSTRIAL,82
ELECTROTECNIA,83
ELECTROTECNIA 1,84
ELECTROTECNIA 2,85
ELECTROTECNIA E INSTALACIONES ELECTRICAS,86
ELEMENTOS DE MAQUINAS,87
ENERGIA SOLAR Y BIOMASA,88
ESTATICA,89
ESTRUCTURA DE MADERA Y METAL,90
ESTRUCTURA METALICA Y DE MADERAS,91
ESTRUCTURAS 1,92
ESTRUCTURAS 2,93
ESTRUCTURAS 3,94
ESTRUCTURAS METALICAS,95
ESTUDIOS DE SUELOS,96
EVALUACION Y GESTION AMBIENTAL,97
FENOMENOS DE TRANSPORTE,98
FINANZAS,99
FISICA 1,100
FISICA 2,101
FISICA 3,102
FISICA 4,103
FISICA DE SEMICONDUCTORES,104
FISICA GRAVIMETRICA,105
FORM. Y EVAL. DE PROYECTOS,106
FORM. Y EVALUACION DE PROYECTOS,107
FORMULACION Y EVALUACION DE PROYECTO,108
FORMULACION Y GESTION DE PROYECTOS,109
FOTOGRAMETRIA 1,110
FOTOGRAMETRIA 2,111
FOTOGRAMETRIA I,112
FOTONICA APLICADA,113
FUNDAMENTO DE LA MECANICA NAVAL,114
FUNDAMENTOS DE ELECTRONICA INDUSTRIAL,115
FUNDAMENTOS DE MEDIO DE RED,116
FUNDAMENTOS DE PLANTA EXTERNA,117
GEODESIA GEOMETRICA,118
GEODESIA GRAVIMETRICA,119
GEODESIA SATELITAL,120
GEOGRAFIA HUMANA,121
GEOLOGIA DEL PARAGUAY,122
GEOLOGIA GENERAL,123
GEOMETRIA ANALITICA,124
GEOMETRIA DESCRIPTIVA,125
GEOMORFOLOGIA,126
GEOTECNIA 1,127
GEOTECNIA 2,128
GEST. DE CALIDAD E IMPACTO AMBIENTAL,129
GESTION DE CALIDAD,130
GESTION DE LA CALIDAD Y MEDIO AMBIENTE,131
GESTION DE PROYECTOS,132
GESTION DE SALUD Y SEGURIDAD INDUST.,133
GESTION EMPRESARIAL,134
GESTION INTEGRAL DE RESIDUOS,135
GESTION Y CONSERVACION DE RECURSOS NATURALES,136
HIDRAULICA 1,137
HIDRAULICA 2,138
HIDROLOGIA GENERAL E HIDRAULICA,139
HIDROTECNIA 1,140
HIDROTECNIA 2,141
HIGIENE Y SEGURIDAD INDUSTRIAL,142
HORMIGON ARMADO 1,143
HORMIGON ARMADO 2,144
INFORMATICA,145
INFORMATICA 2,146
INGENIERIA DE MANTENIMIENTO,147
INGENIERIA ECONOMICA,148
INGLES TECNICO,149
INMOTICA Y DOMOTICA,150
INSTALACION Y EQUIPAMIENTO DE EDIFICIOS,151
INSTALACIONES ELECTRICAS,152
INSTALACIONES ELECTRICAS ESPECIALES,153
INSTALACIONES INDUSTRIALES,154
INSTALACIONES Y EQUIPOS DE EDIFICIOS,155
INSTR. PARA CONTROL Y AUTOM.,156
INSTRUMENTACION PARA TELEC.,157
INSTRUMENTACION PARA TELECOMUNICACIONES,158
INSTRUMENTACION Y AUTOMATIZACION,159
INSTRUMENTACION Y MEDICIONES ELECTRICAS,160
INSTRUMENTACIÓN Y AUTOMATIZACION,161
INSTRUMENTOS PARA CONTROL Y AUTOMATIZACION,162
INT. A LA PROGRAMACION DE CNC,163
INTELIGENCIA ARTIFICIAL,164
INTR AL DESARROLLO TERRITORIAL- MANEJO DE CONSERVACION DE SU,165
INTR. AL PROYECTO Y DISEÑO DE TORRES DE TELECOMUNICACION,166
INTROD. A LA INGENIERIA NAVAL,167
INTRODUCCION A ELECTRONICA MEDICA,168
INTRODUCCION A LA CIENCIA AMBIENTAL,169
INTRODUCCION A LA ELECTRONICA MEDICA,170
INTRODUCCION A LA FISICA ATOMICA Y MOLECULAR,171
INTRODUCCION A LA INVESTIGACION,172
INTRODUCCION A LA MINERIA,173
INTRODUCCION A LA SIMULACION,174
INTRODUCCION AL ORDENAMIENTO TERRITORIAL,175
INVEST. DE OPERACIONES 2,176
INVEST. DE OPERACIONES 3,177
INVESTIGACION DE OPERACIONES 1,178
INVESTIGACION DE OPERACIONES 2,179
INVESTIGACION DE OPERACIONES 3,180
INVESTIGACION OPERATIVA,181
LABORATORIO DE REDES,182
